record_id,combination_size,ingredient_ids,ingredient_names,context,process_context,observed_or_predicted,aroma_similarity,aroma_complement,aroma_contrast,taste_balance,culinary_support,sensory_support,dominance_risk,masking_risk,novelty_score,overall_score,confidence,key_compounds,key_descriptors,bridge_ingredients,evidence_refs,model_version,explanation
COMP-000041,2,ING-PLANT-ABRICOT-000001|ING-PLANT-FRUITDELAPAS-000001,,all,raw_or_cooked,predicted,0.000,0.200,0.800,0.400,,,0.250,0.200,,0.050,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
COMP-000042,2,ING-PLANT-ABRICOT-000001|ING-PLANT-GINGEMBRE-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000043,2,ING-PLANT-ABRICOT-000001|ING-TECH-HUILEDOLIVEV-000001,,all,raw_or_cooked,predicted,0.000,0.167,0.833,0.600,,,0.250,0.200,,0.080,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.17; équilibre gustatif=0.60; risque dominance=0.25; masquage=0.20
COMP-000044,2,ING-PLANT-ABRICOT-000001|ING-TECH-HUILEDECOLZA-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000045,2,ING-PLANT-ABRICOT-000001|ING-TECH-HUILEDETOURN-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000046,2,ING-PLANT-ABRICOT-000001|ING-PLANT-KIWI-000001,,all,raw_or_cooked,predicted,0.000,0.400,0.600,0.400,,,0.250,0.200,,0.110,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.40; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
COMP-000047,2,ING-DAIRY-LAITENTIER-000001|ING-PLANT-ABRICOT-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000048,2,ING-PLANT-ABRICOT-000001|ING-PLANT-MANGUE-000001,,all,raw_or_cooked,predicted,0.000,0.500,0.500,0.400,,,0.250,0.400,,0.100,0.700,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.50; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.40
COMP-000049,2,ING-PLANT-ABRICOT-000001|ING-PLANT-MENTHE-000001,,all,raw_or_cooked,predicted,0.000,0.000,1.000,0.400,,,0.250,0.000,,0.030,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.00; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.00
COMP-000050,2,ING-PLANT-ABRICOT-000001|ING-TECH-MIEL-000001,,all,raw_or_cooked,predicted,0.000,0.200,0.800,0.400,,,0.250,0.200,,0.050,0.730,,,,DESCRIPTOR|AROMA_COMPOUND,1.0.0,Jaccard composés=0.00; Jaccard descripteurs=0.20; équilibre gustatif=0.40; risque dominance=0.25; masquage=0.20
